speaker,text
PIRANHA,"Hello Lana,"
DRAGON,"said Pepe quite early,"
DRAGON,"Excited but mellow, Lana said,"
IGUANA,We're not in a hurry.
IGUANA,"You see, all the animals will eventually pass by,"
IGUANA,And all you have to do is relax and say 'Hi'.
IGUANA,"Then a conversation will naturally start,"
IGUANA,"Just don't be phony, speak from the heart."
DRAGON,"So all that day, Lana stayed with Pepe,"
DRAGON,And met animals who passed by their way.
DRAGON,"First up was Kate, she was a beautiful gorilla,"
DRAGON,She had the coloring of frosty vanilla.
